SKU,PRECO_CUSTO,TAXA_PLATAFORMA,VALOR_FRETE,CUSTO_EMBALAGEM,ESTOQUE_ATUAL
PROD001,90.15,15.36,22.89,4.54,16
PROD002,95.03,15.48,24.88,4.37,98
PROD003,225.66500000000002,20.52,10.11,5.83,22
PROD004,62.48,18.41,14.18,7.97,19
PROD005,143.55999999999997,19.43,29.78,3.55,28
PROD006,62.66,13.88,26.38,7.99,10
PROD007,41.15,7.4,18.22,4.62,51
PROD008,68.18,21.47,25.39,7.9,26
PROD009,61.84,17.21,21.37,7.75,94
PROD010,79.5,13.48,28.99,2.65,2
PROD011,17.62,3.92,24.74,4.65,48
PROD012,187.60999999999999,22.7,11.21,7.49,96
PROD013,75.1,16.18,22.46,4.52,60
PROD014,93.89,24.96,13.81,6.89,4
PROD015,70.191,6.38,25.96,4.93,58
PROD016,30.12,9.18,12.77,2.72,37
PROD017,28.63,3.83,19.36,6.43,33
PROD018,41.43,12.64,13.58,2.55,43
PROD019,115.06,21.67,17.93,5.77,78
PROD020,94.41,17.09,20.62,5.45,91
PROD021,183.36,24.89,26.01,2.26,64
PROD022,38.36,5.32,10.16,3.11,71
PROD023,41.15,6.25,23.44,6.96,92
PROD024,46.24,11.5,15.54,3.13,2
PROD025,57.52,11.11,12.78,3.53,50
PROD026,73.91,10.91,24.0,2.11,38
PROD027,47.465,4.32,23.36,4.76,0
PROD028,108.02,15.11,17.12,5.94,49
PROD029,106.53,19.82,14.81,2.58,7
PROD030,36.62,9.24,18.37,6.22,5
PROD031,102.48,13.33,28.92,3.12,71
PROD032,97.21,13.81,13.94,6.07,9
PROD033,93.76,20.69,17.54,7.06,82
PROD034,32.85,5.2,28.83,6.31,51
PROD035,102.85,14.84,11.46,2.9,45
PROD036,79.99,12.39,18.98,2.16,11
PROD037,64.56,16.32,18.86,5.47,79
PROD038,18.94,4.53,20.99,5.65,72
PROD039,44.64,12.24,13.95,3.6,41
PROD040,107.81,20.1,25.54,5.04,88
PROD041,25.42,4.41,19.13,7.13,35
PROD042,48.91,15.07,17.02,6.51,1
PROD043,140.36,23.77,21.94,5.64,59
PROD044,38.25,4.85,27.18,3.82,72
PROD045,28.98,4.55,24.01,6.75,63
PROD046,16.36,3.87,24.75,7.83,42
PROD047,65.94,18.28,28.13,7.34,76
PROD048,12.81,3.3,15.78,5.26,82
PROD049,64.24,12.86,20.59,3.76,80
PROD050,40.89,9.01,12.22,4.02,90
