SKU,VALOR_VENDA_BRUTO
PROD001,147.48
PROD002,95.75
PROD003,111.23
PROD004,169.64
PROD005,97.21
PROD006,223.95
PROD007,86.08
PROD008,54.22
PROD009,212.39
PROD010,244.71
PROD011,54.24
PROD012,48.49
PROD013,206.71
PROD014,157.68
PROD015,178.99
PROD016,116.95
PROD017,61.29
PROD018,190.24
PROD019,202.17
PROD020,59.23
PROD021,194.08
PROD022,138.45
PROD023,220.19
PROD024,113.87
PROD025,154.17
PROD026,49.93
PROD027,168.59
PROD028,210.73
PROD029,249.75
PROD030,135.58
PROD031,142.92
PROD032,168.29
PROD033,161.11
PROD034,139.12
PROD035,100.05
PROD036,58.06
PROD037,30.93
PROD038,129.4
PROD039,75.89
PROD040,83.98
PROD041,95.98
PROD042,71.23
PROD043,56.4
PROD044,164.37
PROD045,129.59
PROD046,83.58
PROD047,221.05
PROD048,246.1
PROD049,165.47
PROD050,61.49
